episode:61, score:7.57736832, epsilon:1.0, global step:10201, avg_qmax:0.00026866997987894374, memory:10201
episode:62, score:6.6878656, epsilon:1.0, global step:10344, avg_qmax:0.0002484487319818797, memory:10344
episode:63, score:30.141326720000002, epsilon:1.0, global step:10573, avg_qmax:0.0003715551761379333, memory:10573
episode:64, score:8.511678080000001, epsilon:1.0, global step:10773, avg_qmax:0.00028522191207230207, memory:10773
episode:65, score:6.473787520000002, epsilon:1.0, global step:10928, avg_qmax:0.0003190364506501224, memory:10928
episode:66, score:30.42344511999999, epsilon:1.0, global step:11139, avg_qmax:0.00029602141627098127, memory:11139
episode:67, score:5.295528320000002, epsilon:1.0, global step:11269, avg_qmax:0.0004230772591724347, memory:11269
episode:68, score:6.7376512, epsilon:1.0, global step:11423, avg_qmax:0.00031195870410142976, memory:11423
episode:69, score:7.069555200000001, epsilon:1.0, global step:11582, avg_qmax:0.0002650195259798381, memory:11582
episode:70, score:7.482775680000003, epsilon:1.0, global step:11743, avg_qmax:0.00032099335278515986, memory:11743
episode:71, score:7.192359679999998, epsilon:1.0, global step:11911, avg_qmax:0.00030275170220626197, memory:11911
episode:72, score:30.771944319999992, epsilon:1.0, global step:12141, avg_qmax:0.00027984340848216443, memory:12141
episode:73, score:5.283911680000002, epsilon:1.0, global step:12264, avg_qmax:0.0003768341724994608, memory:12264
episode:74, score:5.854786560000001, epsilon:1.0, global step:12402, avg_qmax:0.00033656629739857306, memory:12402
episode:75, score:27.457882880000007, epsilon:1.0, global step:12592, avg_qmax:0.00031531122994668916, memory:12592
episode:76, score:6.965005440000002, epsilon:1.0, global step:12754, avg_qmax:0.00030736743008921263, memory:12754
episode:77, score:6.596592000000002, epsilon:1.0, global step:12898, avg_qmax:0.00033340279235795204, memory:12898
episode:78, score:6.875391360000002, epsilon:1.0, global step:13047, avg_qmax:0.00027109310728013, memory:13047
episode:79, score:3.8666815999999997, epsilon:1.0, global step:13135, avg_qmax:0.0002624301374784078, memory:13135
episode:80, score:27.574049279999997, epsilon:1.0, global step:13297, avg_qmax:0.00022217030044447274, memory:13297
episode:81, score:6.875391360000002, epsilon:1.0, global step:13449, avg_qmax:0.0003034730136852503, memory:13449
episode:82, score:6.96832448, epsilon:1.0, global step:13622, avg_qmax:0.0002637065912063928, memory:13622
episode:83, score:8.095138559999999, epsilon:1.0, global step:13819, avg_qmax:0.00038881629535090416, memory:13819
episode:84, score:29.884101119999986, epsilon:1.0, global step:14023, avg_qmax:0.00026364976870621936, memory:14023
episode:85, score:49.50573056, epsilon:1.0, global step:14244, avg_qmax:0.000325959869148157, memory:14244
episode:86, score:7.051300480000001, epsilon:1.0, global step:14410, avg_qmax:0.00033954418115654446, memory:14410
episode:87, score:6.7376512, epsilon:1.0, global step:14561, avg_qmax:0.00025250509969321726, memory:14561
episode:88, score:27.562432639999997, epsilon:1.0, global step:14728, avg_qmax:0.00022805738469783055, memory:14728
episode:89, score:5.735301120000001, epsilon:1.0, global step:14865, avg_qmax:0.0003345384476054205, memory:14865
episode:90, score:8.531592320000003, epsilon:1.0, global step:15070, avg_qmax:0.00027237270738490825, memory:15070
episode:91, score:6.550125440000002, epsilon:1.0, global step:15213, avg_qmax:0.0003390952515728459, memory:15213
episode:92, score:6.168435840000003, epsilon:1.0, global step:15340, avg_qmax:0.00029335501279801544, memory:15340
episode:93, score:5.32539968, epsilon:1.0, global step:15462, avg_qmax:0.00037400136682022166, memory:15462
episode:94, score:5.383482879999999, epsilon:1.0, global step:15594, avg_qmax:0.00037868424675307875, memory:15594
episode:95, score:27.11602176000001, epsilon:1.0, global step:15775, avg_qmax:0.00036600288414513404, memory:15775
episode:96, score:6.02737664, epsilon:1.0, global step:15920, avg_qmax:0.00041444818750184417, memory:15920
episode:97, score:7.104405120000002, epsilon:1.0, global step:16082, avg_qmax:0.00031497427633798964, memory:16082
episode:98, score:29.265100159999996, epsilon:1.0, global step:16272, avg_qmax:0.00021813302392777252, memory:16272
episode:99, score:5.886317440000002, epsilon:1.0, global step:16407, avg_qmax:0.00030664630477851324, memory:16407
episode:100, score:6.827265280000002, epsilon:1.0, global step:16571, avg_qmax:0.0003018579839523981, memory:16571
episode:101, score:6.27962368, epsilon:1.0, global step:16720, avg_qmax:0.00030767520064233736, memory:16720
episode:102, score:6.85049856, epsilon:1.0, global step:16875, avg_qmax:0.00028371532609467506, memory:16875
episode:103, score:6.12860736, epsilon:1.0, global step:17030, avg_qmax:0.0002471144996947729, memory:17030
episode:104, score:6.5816563200000004, epsilon:1.0, global step:17192, avg_qmax:0.00043165102552275466, memory:17192
episode:105, score:7.595623040000001, epsilon:1.0, global step:17370, avg_qmax:0.00031629149454826975, memory:17370
episode:106, score:6.790755840000001, epsilon:1.0, global step:17529, avg_qmax:0.0002776016749149853, memory:17529
episode:107, score:6.35264256, epsilon:1.0, global step:17678, avg_qmax:0.0002464331393773728, memory:17678
episode:108, score:8.252792960000004, epsilon:1.0, global step:17870, avg_qmax:0.00044331182160325017, memory:17870
episode:109, score:6.6729299200000005, epsilon:1.0, global step:18034, avg_qmax:0.00032850205412259816, memory:18034
episode:110, score:7.623834880000002, epsilon:1.0, global step:18208, avg_qmax:0.00025811165043664025, memory:18208
episode:111, score:7.48609472, epsilon:1.0, global step:18378, avg_qmax:0.0003217713488137473, memory:18378
episode:112, score:7.172445440000002, epsilon:1.0, global step:18550, avg_qmax:0.00032720266111471914, memory:18550
episode:113, score:6.687865600000002, epsilon:1.0, global step:18696, avg_qmax:0.00025105354277861995, memory:18696
episode:114, score:7.104405120000001, epsilon:1.0, global step:18857, avg_qmax:0.0003239568261548433, memory:18857
episode:115, score:5.22416896, epsilon:1.0, global step:18987, avg_qmax:0.0003290393924264488, memory:18987
episode:116, score:5.084769280000001, epsilon:1.0, global step:19101, avg_qmax:0.0002833881067967843, memory:19101
episode:117, score:51.09389120000001, epsilon:1.0, global step:19374, avg_qmax:0.00037797644745629714, memory:19374
episode:118, score:6.875391360000002, epsilon:1.0, global step:19528, avg_qmax:0.00024478896794825195, memory:19528
episode:119, score:5.491351680000003, epsilon:1.0, global step:19645, avg_qmax:0.0003061219845571591, memory:19645
episode:120, score:4.547084800000002, epsilon:1.0, global step:19753, avg_qmax:0.00045494911911966347, memory:19753
episode:121, score:7.525923200000001, epsilon:1.0, global step:19926, avg_qmax:0.0004376985273250605, memory:19926
episode:122, score:4.107312, epsilon:0.9999748000000008, global step:20027, avg_qmax:0.003562418059325612, memory:20027
episode:123, score:4.630060799999997, epsilon:0.9998578000000047, global step:20157, avg_qmax:0.042482733726501465, memory:20157
episode:124, score:5.569349120000003, epsilon:0.9997399000000086, global step:20288, avg_qmax:0.03141431063982367, memory:20288
episode:125, score:6.669610880000001, epsilon:0.999606700000013, global step:20436, avg_qmax:0.03397664875798934, memory:20436
episode:126, score:6.687865600000001, epsilon:0.9994780000000172, global step:20579, avg_qmax:0.044022339389665974, memory:20579
episode:127, score:5.692153600000003, epsilon:0.9993565000000212, global step:20714, avg_qmax:0.03822945652322637, memory:20714
episode:128, score:7.436309120000001, epsilon:0.9992188000000257, global step:20867, avg_qmax:0.04079804221302076, memory:20867
episode:129, score:6.150181120000001, epsilon:0.9990946000000298, global step:21005, avg_qmax:0.03467113343809826, memory:21005
episode:130, score:5.51956352, epsilon:0.9989749000000337, global step:21138, avg_qmax:0.046468701605734075, memory:21138
episode:131, score:4.771120000000002, epsilon:0.998876800000037, global step:21247, avg_qmax:0.04032219300439598, memory:21247
episode:132, score:5.970952960000003, epsilon:0.998755300000041, global step:21382, avg_qmax:0.039924102359347874, memory:21382
episode:133, score:5.962655360000001, epsilon:0.9986221000000454, global step:21530, avg_qmax:0.038973925723316705, memory:21530
episode:134, score:6.618165760000003, epsilon:0.9984889000000498, global step:21678, avg_qmax:0.049997778659736786, memory:21678
episode:135, score:7.184062080000002, epsilon:0.9983512000000543, global step:21831, avg_qmax:0.04019428835877406, memory:21831
episode:136, score:3.4700563199999994, epsilon:0.998269300000057, global step:21922, avg_qmax:0.040892413193052944, memory:21922
