episode:0, score:4.648315520000002, epsilon:1.0, global step:112, avg_qmax:0.00020099095770222317, memory:112
episode:1, score:6.3559616000000005, epsilon:1.0, global step:248, avg_qmax:0.000252639196386393, memory:248
episode:2, score:27.3101856, epsilon:1.0, global step:432, avg_qmax:0.000216595737554045, memory:432
episode:3, score:29.608620799999997, epsilon:1.0, global step:648, avg_qmax:0.0002089198185752105, memory:648
episode:4, score:29.13233855999999, epsilon:1.0, global step:841, avg_qmax:0.00013631635745960154, memory:841
episode:5, score:5.833212800000001, epsilon:1.0, global step:977, avg_qmax:0.00015778207592334452, memory:977
episode:6, score:6.762544000000002, epsilon:1.0, global step:1144, avg_qmax:0.0001726881725740449, memory:1144
episode:7, score:5.692153600000001, epsilon:1.0, global step:1272, avg_qmax:0.00025483765728040453, memory:1272
episode:8, score:6.3908115200000015, epsilon:1.0, global step:1419, avg_qmax:0.00030939778112877656, memory:1419
episode:9, score:52.955872639999995, epsilon:1.0, global step:1674, avg_qmax:0.0002107495631065046, memory:1674
episode:10, score:50.1894528, epsilon:1.0, global step:1894, avg_qmax:0.00034804882300456733, memory:1894
episode:11, score:7.0147910399999995, epsilon:1.0, global step:2062, avg_qmax:0.0003723536909611929, memory:2062
episode:12, score:6.30949504, epsilon:1.0, global step:2205, avg_qmax:0.00021166353293334726, memory:2205
episode:13, score:6.218221440000002, epsilon:1.0, global step:2347, avg_qmax:0.00038813635140760313, memory:2347
episode:14, score:5.932784000000002, epsilon:1.0, global step:2492, avg_qmax:0.00025672335116817927, memory:2492
episode:15, score:5.154469120000003, epsilon:1.0, global step:2613, avg_qmax:0.0003251064556010052, memory:2613
episode:16, score:50.84164415999999, epsilon:1.0, global step:2838, avg_qmax:0.00021910375325306732, memory:2838
episode:17, score:30.750370559999986, epsilon:1.0, global step:3068, avg_qmax:0.00020135086454541558, memory:3068
episode:18, score:26.81067008, epsilon:1.0, global step:3218, avg_qmax:0.0003153714607469738, memory:3218
episode:19, score:5.0847692800000015, epsilon:1.0, global step:3331, avg_qmax:0.000386432284310015, memory:3331
episode:20, score:2.9622431999999996, epsilon:1.0, global step:3404, avg_qmax:0.0003705544785003589, memory:3404
episode:21, score:5.137873920000002, epsilon:1.0, global step:3523, avg_qmax:0.0002951067051813085, memory:3523
episode:22, score:4.993495680000004, epsilon:1.0, global step:3642, avg_qmax:0.000477720309230362, memory:3642
episode:23, score:5.9228268800000015, epsilon:1.0, global step:3795, avg_qmax:0.000293027647535828, memory:3795
episode:24, score:7.054619520000003, epsilon:1.0, global step:3939, avg_qmax:0.00038854957996490056, memory:3939
episode:25, score:6.09541696, epsilon:1.0, global step:4090, avg_qmax:0.0003816294120042585, memory:4090
episode:26, score:6.0389932800000015, epsilon:1.0, global step:4228, avg_qmax:0.00036278188633951834, memory:4228
episode:27, score:7.295249920000003, epsilon:1.0, global step:4385, avg_qmax:0.00018773609460199885, memory:4385
episode:28, score:4.63337984, epsilon:1.0, global step:4499, avg_qmax:0.0003810581381178947, memory:4499
episode:29, score:7.962376960000004, epsilon:1.0, global step:4670, avg_qmax:0.00019830001008557972, memory:4670
episode:30, score:7.436309120000001, epsilon:1.0, global step:4831, avg_qmax:0.000262124052394893, memory:4831
episode:31, score:8.322492800000001, epsilon:1.0, global step:5024, avg_qmax:0.00019266907510771705, memory:5024
episode:32, score:30.066648320000006, epsilon:1.0, global step:5273, avg_qmax:0.00022651230726358583, memory:5273
episode:33, score:6.596592000000001, epsilon:1.0, global step:5418, avg_qmax:0.0004952215613167059, memory:5418
episode:34, score:28.227900159999994, epsilon:1.0, global step:5599, avg_qmax:0.00018547049352270648, memory:5599
episode:35, score:7.954079360000002, epsilon:1.0, global step:5792, avg_qmax:0.0002464688070666725, memory:5792
episode:36, score:5.466458880000001, epsilon:1.0, global step:5920, avg_qmax:0.000362528751196578, memory:5920
episode:37, score:7.05461952, epsilon:1.0, global step:6070, avg_qmax:0.00024074782704701646, memory:6070
episode:38, score:5.989207680000002, epsilon:1.0, global step:6194, avg_qmax:0.0002283035065052137, memory:6194
episode:39, score:7.19567872, epsilon:1.0, global step:6349, avg_qmax:0.0002369665259926302, memory:6349
episode:40, score:29.977034239999995, epsilon:1.0, global step:6551, avg_qmax:0.0002860229051833866, memory:6551
episode:41, score:6.578337280000003, epsilon:1.0, global step:6710, avg_qmax:0.0002732681705368025, memory:6710
episode:42, score:6.347664000000002, epsilon:1.0, global step:6854, avg_qmax:0.0003313382093463386, memory:6854
episode:43, score:6.497020800000001, epsilon:1.0, global step:6996, avg_qmax:0.0003935446241702663, memory:6996
episode:44, score:7.5740492800000006, epsilon:1.0, global step:7164, avg_qmax:0.00016689458479526192, memory:7164
episode:45, score:7.172445440000001, epsilon:1.0, global step:7332, avg_qmax:0.0002252098510044085, memory:7332
episode:46, score:4.874010240000002, epsilon:1.0, global step:7447, avg_qmax:0.0002491024937151688, memory:7447
episode:47, score:5.858105600000004, epsilon:1.0, global step:7576, avg_qmax:0.00027774981183113616, memory:7576
