episode:1, score:7.955738880000001, epsilon:1.0, global step:320, avg_qmax:0.00047496333999268766, memory:320
episode:2, score:5.172723840000003, epsilon:1.0, global step:434, avg_qmax:0.0005011939009771021, memory:434
episode:3, score:7.871103360000001, epsilon:1.0, global step:602, avg_qmax:0.0003656298772078853, memory:602
episode:4, score:4.248371199999999, epsilon:1.0, global step:712, avg_qmax:0.00033092464942786713, memory:712
episode:5, score:6.6878656, epsilon:1.0, global step:863, avg_qmax:0.000389026165126984, memory:863
episode:6, score:5.011750400000002, epsilon:1.0, global step:970, avg_qmax:0.00042772802244654256, memory:970
episode:7, score:6.309495040000002, epsilon:1.0, global step:1105, avg_qmax:0.0002883953257373327, memory:1105
episode:8, score:7.504349440000002, epsilon:1.0, global step:1268, avg_qmax:0.0004011814137817178, memory:1268
episode:9, score:5.31378304, epsilon:1.0, global step:1397, avg_qmax:0.0006279482086240531, memory:1397
episode:10, score:5.1063430400000005, epsilon:1.0, global step:1514, avg_qmax:0.0003243567697896869, memory:1514
episode:11, score:7.195678720000002, epsilon:1.0, global step:1668, avg_qmax:0.00033036940625276077, memory:1668
episode:12, score:6.392471040000002, epsilon:1.0, global step:1821, avg_qmax:0.00045688108295115513, memory:1821
episode:13, score:4.386111359999999, epsilon:1.0, global step:1923, avg_qmax:0.0003410986787368493, memory:1923
episode:14, score:7.436309120000002, epsilon:1.0, global step:2093, avg_qmax:0.0004149906257760663, memory:2093
episode:15, score:5.932784000000002, epsilon:1.0, global step:2227, avg_qmax:0.0004771199384315457, memory:2227
episode:16, score:26.749267840000005, epsilon:1.0, global step:2417, avg_qmax:0.0005236771937712834, memory:2417
episode:17, score:5.084769280000001, epsilon:1.0, global step:2536, avg_qmax:0.0004513041572145161, memory:2536
episode:18, score:4.860734080000002, epsilon:1.0, global step:2644, avg_qmax:0.0005009475106716207, memory:2644
episode:19, score:4.771120000000002, epsilon:1.0, global step:2748, avg_qmax:0.00039755568405570765, memory:2748
episode:20, score:5.44820416, epsilon:1.0, global step:2886, avg_qmax:0.0003581375292238933, memory:2886
episode:21, score:28.38389504, epsilon:1.0, global step:3079, avg_qmax:0.0004869255038530812, memory:3079
episode:22, score:7.554135040000002, epsilon:1.0, global step:3260, avg_qmax:0.0005079598021092155, memory:3260
episode:23, score:6.8787104, epsilon:1.0, global step:3418, avg_qmax:0.0004138887480748272, memory:3418
episode:24, score:6.737651200000002, epsilon:1.0, global step:3569, avg_qmax:0.00042227517817672387, memory:3569
episode:25, score:31.075636479999993, epsilon:1.0, global step:3797, avg_qmax:0.00038096352498765204, memory:3797
episode:26, score:5.783427200000001, epsilon:1.0, global step:3921, avg_qmax:0.00048676996612489494, memory:3921
episode:27, score:7.125978880000002, epsilon:1.0, global step:4089, avg_qmax:0.00033072398043389385, memory:4089
episode:28, score:4.6167846400000006, epsilon:1.0, global step:4201, avg_qmax:0.0004651610533333691, memory:4201
episode:29, score:4.56533952, epsilon:1.0, global step:4295, avg_qmax:0.0004282438232060466, memory:4295
episode:30, score:6.896965120000003, epsilon:1.0, global step:4451, avg_qmax:0.0004936508527792355, memory:4451
episode:31, score:26.30451648, epsilon:1.0, global step:4589, avg_qmax:0.000594092482746076, memory:4589
episode:32, score:7.18738112, epsilon:1.0, global step:4760, avg_qmax:0.0004609095188759285, memory:4760
episode:33, score:4.56533952, epsilon:1.0, global step:4861, avg_qmax:0.00035204901756190853, memory:4861
